atom_id,uc_id,type,FeO_coord,threshold,is_surface_after_pbc,n_pbc_uc,total_interactions,excluded_due_to_pbc,x,y,z
1909,0,FeA,0,4,0,24,0,0,60.18,31.86,49.56
1910,0,FeA,0,4,0,24,0,0,63.72,31.86,49.56
1911,0,FeA,0,4,0,24,0,0,67.26,31.86,49.56
1912,0,FeA,0,4,0,24,0,0,70.8,31.86,49.56
1913,0,FeA,0,4,0,24,0,0,74.34,31.86,49.56
1914,0,FeA,0,4,0,24,0,0,0,35.4,49.56
1915,0,FeA,0,4,0,24,0,0,3.54,35.4,49.56
1916,0,FeA,0,4,0,24,0,0,7.08,35.4,49.56
1917,0,FeA,0,4,0,24,0,0,10.62,35.4,49.56
1918,0,FeA,0,4,0,24,0,0,14.16,35.4,49.56
1919,0,FeA,0,4,0,24,0,0,17.7,35.4,49.56
1920,0,FeA,0,4,0,24,0,0,21.24,35.4,49.56
1921,0,FeA,0,4,0,24,0,0,24.78,35.4,49.56
1922,0,FeA,0,4,0,24,0,0,28.32,35.4,49.56
1923,0,FeA,0,4,0,24,0,0,31.86,35.4,49.56
1924,0,FeA,0,4,0,24,0,0,35.4,35.4,49.56
1925,0,FeA,0,4,0,24,0,0,38.94,35.4,49.56
1926,0,FeA,0,4,0,24,0,0,42.48,35.4,49.56
1927,0,FeA,0,4,0,24,0,0,46.02,35.4,49.56
1928,0,FeA,0,4,0,24,0,0,49.56,35.4,49.56
1929,0,FeA,0,4,0,24,0,0,53.1,35.4,49.56
1930,0,FeA,0,4,0,24,0,0,56.64,35.4,49.56
1931,0,FeA,0,4,0,24,0,0,60.18,35.4,49.56
1932,0,FeA,0,4,0,24,0,0,63.72,35.4,49.56
1933,0,FeA,0,4,0,24,0,0,67.26,35.4,49.56
1934,0,FeA,0,4,0,24,0,0,70.8,35.4,49.56
1935,0,FeA,0,4,0,24,0,0,74.34,35.4,49.56
1936,0,FeA,0,4,0,24,0,0,0,38.94,53.1
1937,0,FeA,0,4,0,24,0,0,3.54,38.94,53.1
1938,0,FeA,0,4,0,24,0,0,7.08,38.94,53.1
1939,0,FeA,0,4,0,24,0,0,10.62,38.94,53.1
1940,0,FeA,0,4,0,24,0,0,14.16,38.94,53.1
1941,0,FeA,0,4,0,24,0,0,17.7,38.94,53.1
1942,0,FeA,0,4,0,24,0,0,21.24,38.94,53.1
1943,0,FeA,0,4,0,24,0,0,24.78,38.94,53.1
1944,0,FeA,0,4,0,24,0,0,28.32,38.94,53.1
1945,0,FeA,0,4,0,24,0,0,31.86,38.94,53.1
1946,0,FeA,0,4,0,24,0,0,35.4,38.94,53.1
